date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,0,0,0,0,14000,0
20140128,0,0,0,0,0,55300,0
20140127,0,0,0,0,0,0,0
20140124,0,0,0,0,0,22200,0
20140123,0,0,0,0,0,855000,0
20140122,0,0,0,0,0,648200,0
20140121,0,0,0,0,0,0,0
20140120,0,0,0,0,0,0,0
20140117,0,0,0,0,0,60100,0
20140116,0,0,0,0,0,53200,0
20140115,0,0,0,0,0,0,0
20140114,0,0,0,0,0,55800,0
20140113,0,0,0,0,0,82100,0
20140110,0,0,0,0,0,20700,0
20140109,0,0,0,0,0,199300,0
20140108,0,0,0,0,0,200100,0
20140107,0,0,0,0,0,2000,0
20140106,0,0,0,0,0,100,0
20140103,0,0,0,0,0,0,0
20140102,0,0,0,0,0,50000,0
20140101,0,0,0,0,0,0,0
20131231,0,0,0,0,0,390300,0
20131230,0,0,0,0,0,228300,0
20131227,0,0,0,0,0,114600,0
20131226,0,0,0,0,0,80400,0
20131225,0,0,0,0,0,0,0
20131224,0,0,0,0,0,121000,0
20131223,0,0,0,0,0,416600,0
20131220,0,0,0,0,0,166300,0
20131219,0,0,0,0,0,116500,0
20131218,0,0,0,0,0,64800,0
20131217,0,0,0,0,0,97000,0
20131216,0,0,0,0,0,246400,0
20131213,0,0,0,0,0,13800,0
20131212,0,0,0,0,0,10400,0
20131211,0,0,0,0,0,98400,0
20131210,0,0,0,0,0,295900,0
20131209,0,0,0,0,0,745500,0
20131206,0,0,0,0,0,21600,0
20131205,0,0,0,0,0,10700,0
20131204,0,0,0,0,0,535600,0
20131203,0,0,0,0,0,26900,0
20131202,0,0,0,0,0,135200,0
20131129,0,0,0,0,0,64800,0
20131128,0,0,0,0,0,0,0
20131127,0,0,0,0,0,4200,0
20131126,0,0,0,0,0,43600,0
20131125,0,0,0,0,0,153800,0
20131122,0,0,0,0,0,335300,0
20131121,0,0,0,0,0,28000,0
20131120,0,0,0,0,0,68800,0
20131119,0,0,0,0,0,148500,0
20131118,0,0,0,0,0,51700,0
20131115,0,0,0,0,0,41800,0
20131114,0,0,0,0,0,51000,0
20131113,0,0,0,0,0,12300,0
20131112,0,0,0,0,0,14400,0
20131111,0,0,0,0,0,25600,0
20131108,0,0,0,0,0,56000,0
20131107,0,0,0,0,0,34400,0
20131106,0,0,0,0,0,0,0
20131105,0,0,0,0,0,55700,0
20131104,0,0,0,0,0,13000,0
20131101,0,0,0,0,0,86200,0
20131031,0,0,0,0,0,44500,0
20131030,0,0,0,0,0,38200,0
20131029,0,0,0,0,0,475600,0
20131028,0,0,0,0,0,1861100,0
20131025,0,0,0,0,0,284000,0
20131024,0,0,0,0,0,796500,0
20131023,0,0,0,0,0,302400,0
20131022,0,0,0,0,0,489500,0
20131021,0,0,0,0,0,0,0
20131018,0,0,0,0,0,0,0
20131017,0,0,0,0,0,62900,0
20131016,0,0,0,0,0,151300,0
20131015,0,0,0,0,0,300000,0
20131014,0,0,0,0,0,0,0
20131011,0,0,0,0,0,180000,0
20131010,0,0,0,0,0,4400,0
20131009,0,0,0,0,0,100,0
20131008,0,0,0,0,0,98200,0
20131007,0,0,0,0,0,2327700,0
20131004,0,0,0,0,0,200,0
20131003,0,0,0,0,0,1000,0
20131002,0,0,0,0,0,28000,0
20131001,0,0,0,0,0,299900,0
20130930,0,0,0,0,0,1279400,0
20130927,0,0,0,0,0,0,0
20130926,0,0,0,0,0,13000,0
20130925,0,0,0,0,0,40000,0
20130924,0,0,0,0,0,61100,0
20130923,0,0,0,0,0,20000,0
20130920,0,0,0,0,0,800,0
20130919,0,0,0,0,0,0,0
20130918,0,0,0,0,0,12000,0
20130917,0,0,0,0,0,1000,0
20130916,0,0,0,0,0,0,0
20130913,0,0,0,0,0,3100,0
20130912,0,0,0,0,0,5400,0
20130911,0,0,0,0,0,16900,0
20130910,0,0,0,0,0,76100,0
20130909,0,0,0,0,0,13700,0
